ticker,date,open,close,bid,ask,52_week_low,52_week_high,volume,avg_volume,market_cap,pe_ratio,eps,currency,fetched_at
AAPL,2026-05-16,297.8999938964844,300.23,299.23,301.47,193.46,303.2,54675423,43790246,4409585041408,36.347458,8.26,USD,2026-05-16 22:56:43
GOOGL,2026-05-16,396.3200073242188,396.78,396.43,400.0,162.0,403.7,20175668,29115468,4807165739008,30.311687,13.09,USD,2026-05-16 22:56:43
AMZN,2026-05-16,262.5,264.14,263.55,264.29,196.0,278.56,40582258,46748330,2841383010304,31.633533,8.35,USD,2026-05-16 22:56:43
MSFT,2026-05-16,414.2699890136719,421.92,420.79,422.04,356.28,555.45,50237244,34141903,3134205460480,25.129244,16.79,USD,2026-05-16 22:56:44
NVDA,2026-05-16,229.759994506836,225.32,225.3,225.53,129.16,236.54,177323868,170635714,5457368842240,46.077713,4.89,USD,2026-05-16 22:56:44
TSLA,2026-05-16,433.9800109863281,422.24,422.03,423.18,273.21,498.83,52085091,62496514,1585816797184,383.85452,1.1,USD,2026-05-16 22:56:45
META,2026-05-16,613.989990234375,614.23,598.48,614.68,520.26,796.25,13184332,15334766,1559175626752,22.319403,27.52,USD,2026-05-16 22:56:45
NFLX,2026-05-16,87.69000244140625,87.02,83.33,89.7,75.01,134.115,31711226,44012873,366423670784,28.070967,3.1,USD,2026-05-16 22:56:46
AAPL,2026-05-17,297.8999938964844,300.23,299.23,301.47,193.46,303.2,54862836,43553490,4409585041408,36.347458,8.26,USD,2026-05-17 22:04:48
GOOGL,2026-05-17,396.3200073242188,396.78,396.43,400.0,162.0,403.7,20309702,28952046,4807165739008,30.311687,13.09,USD,2026-05-17 22:04:48
AMZN,2026-05-17,262.5,264.14,263.55,264.29,196.0,278.56,40770344,46375251,2841383010304,31.633533,8.35,USD,2026-05-17 22:04:49
MSFT,2026-05-17,414.2699890136719,421.92,420.79,422.04,356.28,555.45,50771160,34175179,3134205460480,25.129244,16.79,USD,2026-05-17 22:04:49
NVDA,2026-05-17,229.759994506836,225.32,225.3,225.53,129.16,236.54,180977639,170770533,5457368842240,46.077713,4.89,USD,2026-05-17 22:04:50
TSLA,2026-05-17,433.9800109863281,422.24,422.03,423.18,273.21,498.83,52688742,62541961,1585816797184,383.85452,1.1,USD,2026-05-17 22:04:50
META,2026-05-17,613.989990234375,614.23,598.48,614.68,520.26,796.25,13272567,15377670,1559175626752,22.319403,27.52,USD,2026-05-17 22:04:51
NFLX,2026-05-17,87.69000244140625,87.02,83.33,89.7,75.01,134.115,32335655,44142733,366423670784,28.070967,3.1,USD,2026-05-17 22:04:51
AAPL,2026-05-18,300.239990234375,297.84,294.02,301.9,193.46,303.2,34313641,43706772,4374482124800,36.05811,8.26,USD,2026-05-18 23:09:42
GOOGL,2026-05-18,395.8399963378906,396.94,396.02,406.98,162.0,408.61,26290651,28959750,4809104031744,30.323912,13.09,USD,2026-05-18 23:09:43
AMZN,2026-05-18,263.864990234375,264.86,250.42,277.35,196.0,278.56,33570711,46299381,2849128054784,31.719757,8.35,USD,2026-05-18 23:09:43
MSFT,2026-05-18,416.10198974609375,423.54,420.02,426.98,356.28,555.45,31059371,34354716,3146239442944,25.225729,16.79,USD,2026-05-18 23:09:43
NVDA,2026-05-18,229.82000732421875,222.32,218.5,222.21,129.16,236.54,144108922,170869245,5384707244032,45.464214,4.89,USD,2026-05-18 23:09:44
TSLA,2026-05-18,419.3550109863281,409.99,409.82,410.23,273.21,498.83,51738111,62814429,1539809214464,372.71817,1.1,USD,2026-05-18 23:09:44
META,2026-05-18,609.2249755859375,611.21,609.99,611.54,520.26,796.25,13323126,15389613,1551509749760,22.209665,27.52,USD,2026-05-18 23:09:45
NFLX,2026-05-18,86.4020004272461,89.65,89.46,89.56,75.01,134.115,33685933,44376498,377498107904,28.919355,3.1,USD,2026-05-18 23:09:45
AAPL,2026-05-19,296.9700012207031,298.97,297.73,301.98,193.46,303.2,34842416,43768409,4391078723584,36.23879,8.25,USD,2026-05-19 23:10:11
GOOGL,2026-05-19,396.989990234375,387.66,388.03,393.97,162.0,408.61,38640994,28976844,4696673091584,29.592365,13.1,USD,2026-05-19 23:10:12
AMZN,2026-05-19,262.0199890136719,259.34,258.33,259.22,196.0,278.56,40091649,46267631,2789748768768,30.984468,8.37,USD,2026-05-19 23:10:12
