date,headline,ticker,source,neg,neu,pos,compound,sentiment_label
2026-02-21,Warren Buffett’s Last Investment Was This Stock. Should You Follow the Oracle and Buy It Too?,AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Humanoid Robots Are at the Gate. The Problem: Cost.,AAPL,Yahoo RSS,0.252,0.748,0.0,-0.4019,negative
2026-02-20,Top Stocks to Double Up on Right Now,AAPL,Yahoo RSS,0.0,0.795,0.205,0.2023,positive
2026-02-20,The New Magnificent Stocks to Own in 2026,AAPL,Yahoo RSS,0.0,0.642,0.358,0.5994,positive
2026-02-20,"After the Pause, the Magnificent 7 Stocks Look Ready to Lead Again",AAPL,Yahoo RSS,0.0,0.61,0.39,0.7506,positive
2026-02-20,"Tesla to Discontinue Model S, X After 630,000+ Sales",AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,Apple Stands Out Amid Memory Crunch,AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,Equities Rise as Trump Sets Additional Tariffs After Supreme Court Ruling,AAPL,Yahoo RSS,0.0,0.735,0.265,0.5574,positive
2026-02-20,"Nike, Big Tech, furniture stocks reacting to SCOTUS tariff ruling",AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,Equities Rise Intraday as Trump Responds to Supreme Court Tariff Ruling,AAPL,Yahoo RSS,0.0,0.735,0.265,0.5574,positive
2026-02-20,Tennessee Judge Blocks State Action Against Kalshi: Crypto Win?,AAPL,Yahoo RSS,0.15,0.551,0.299,0.4404,positive
2026-02-20,"Nvidia, Dell, and Apple Rally. Tech Goods Has Shifted Assembly.",AAPL,Yahoo RSS,0.0,0.796,0.204,0.3182,positive
2026-02-20,"OpenAI developing AI devices including smart speaker, The Information reports",AAPL,Yahoo RSS,0.0,0.769,0.231,0.4019,positive
2026-02-22,Google Gave Amazing News to Nvidia and Broadcom Stock Investors - Nasdaq,GOOGL,Google RSS,0.0,0.743,0.257,0.5859,positive
2026-02-20,Paul Tudor Jones Is Betting Big on Google Stock. Should You? - Barchart.com,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,3 Good Reasons to Buy Google Right Now - Benzinga,GOOGL,Google RSS,0.0,0.756,0.244,0.4404,positive
2026-02-22,Google Gave Amazing News to Nvidia and Broadcom Stock Investors - The Motley Fool,GOOGL,Google RSS,0.155,0.642,0.203,0.2263,positive
2026-02-17,Is Google Stock Ready For Another Rally? - Forbes,GOOGL,Google RSS,0.0,0.593,0.407,0.5859,positive
2026-02-20,Google stock (GOOG) jumps after Supreme Court tariff ruling as traders brace for Nvidia earnings - TechStock²,GOOGL,Google RSS,0.0,0.816,0.184,0.5574,positive
2026-02-22,Why you need to buy Google stock before March - Finbold,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,What OpenAI's Funding Says About Google's Value - The Information,GOOGL,Google RSS,0.0,0.789,0.211,0.34,positive
2026-02-22,"Stock Expert Recommends Tesla, Palantir, Google, Bitcoin as Rising Assets - 조선일보",GOOGL,Google RSS,0.0,0.735,0.265,0.3818,positive
2026-02-19,"AI Stocks Reset In 2026. What's Next For Apple, Nvidia, Google And Microsoft? - Investor's Business Daily",GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-17,"Dow Jones Futures Fall; With Apple, Google, Amazon, Meta, Nvidia In Focus - Investor's Business Daily",GOOGL,Google RSS,0.0,0.898,0.102,0.1779,positive
2026-02-20,"Oracle, Google among market cap stock movers on Friday - Investing.com",GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,An Inference Tsunami May Be Coming for Google Cloud - 24/7 Wall St.,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Google Stock Prepares to Fire as it Debuts $499 Pixel 10a to Snuff Out Apple’s iPhone 17e - TipRanks,GOOGL,Google RSS,0.118,0.882,0.0,-0.34,negative
